iter	Passed	Remaining
0	1	101
1	1	66
2	1	54
3	2	57
4	3	59
5	3	62
6	4	63
7	5	64
8	6	65
9	7	65
10	8	65
11	8	65
12	9	65
13	10	64
14	11	64
15	12	63
16	13	63
17	13	63
18	14	62
19	15	61
20	16	61
21	17	60
22	18	60
23	18	59
24	19	59
25	20	58
26	21	57
27	22	56
28	22	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	28	49
36	28	49
37	29	48
38	30	47
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	37	36
51	38	35
52	39	34
53	39	33
54	40	33
55	41	32
56	41	31
57	42	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	50	19
72	51	18
73	51	18
74	52	17
75	52	16
76	53	16
77	54	15
78	54	14
79	55	13
80	56	13
81	56	12
82	57	11
83	57	11
84	58	10
85	58	9
86	59	8
87	59	8
88	60	7
89	61	6
90	61	6
91	62	5
92	62	4
93	63	4
94	63	3
95	64	2
96	64	2
97	65	1
98	65	0
99	66	0
