Metrica,Referencia,Outro_Modelo,Media_sMAPE_Ref,Media_sMAPE_Outro,Estatistica_W,P_Value,Diferenca_Significativa
sMAPE - Produto,AutoARIMA,CatBoost,52.473897311130735,53.79617812838662,1214.5,0.7159740739967775,False
sMAPE - Produto,AutoARIMA,mistralai/mistral-medium-3.5-128b,52.473897311130735,55.771516163511464,1142.5,0.4375171203808288,False
sMAPE - Produto,AutoARIMA,mistralai/mistral-medium-3.5-128b,52.473897311130735,58.61926943830362,1032.5,0.15952387161893633,False
sMAPE - Produto,AutoARIMA,mistralai/mistral-medium-3.5-128b,52.473897311130735,58.76016959529835,1043.5,0.17906272380739374,False
sMAPE - Produto,AutoARIMA,LSTM,52.473897311130735,59.14982304823141,1017.5,0.13553609937576347,False
sMAPE - Produto,AutoARIMA,mistralai/mistral-medium-3.5-128b,52.473897311130735,60.38101229791366,950.5,0.06058374128358048,False
sMAPE - Produto,AutoARIMA,XGBoost,52.473897311130735,60.85275422685349,760.5,0.0030249599559416286,True
sMAPE - Produto,AutoARIMA,mistralai/mistral-medium-3.5-128b,52.473897311130735,61.752219290461554,977.5,0.08510291510410194,False
sMAPE - Produto,AutoARIMA,Prophet,52.473897311130735,62.16179239045355,912.5,0.03623727072442694,True
sMAPE - Produto,AutoARIMA,qwen/qwen3.5-397b-a17b,52.473897311130735,65.79818703940619,847.5,0.013636671144550886,True
sMAPE - Produto,AutoARIMA,TCN,52.473897311130735,66.44568417556803,820.5,0.008756947535877304,True
sMAPE - Produto,AutoARIMA,qwen/qwen3.5-397b-a17b,52.473897311130735,67.45420663100768,694.5,0.000827706815042126,True
sMAPE - Produto,AutoARIMA,qwen/qwen3.5-397b-a17b,52.473897311130735,72.34987834841331,647.5,0.00030307023289399696,True
sMAPE - Produto,AutoARIMA,qwen/qwen3.5-397b-a17b,52.473897311130735,73.66915037926898,613.5,0.0001403924071954874,True
sMAPE - Produto,AutoARIMA,AutoETS,52.473897311130735,82.65960924942276,389.5,3.5625679233073153e-07,True
sMAPE - Produto,AutoARIMA,qwen/qwen3.5-397b-a17b,52.473897311130735,89.67787372176217,550.5,3.0667051834222125e-05,True
sMAPE - Produto,AutoARIMA,Naive,52.473897311130735,111.84386440464985,333.5,6.238391736695912e-08,True
sMAPE - Produto,AutoARIMA,SeasonalNaive,52.473897311130735,118.19064072004247,212.0,1.0088419094940517e-09,True
sMAPE - País,mistralai/mistral-medium-3.5-128b,mistralai/mistral-medium-3.5-128b,24.782468681659168,25.51792192105775,1239.0,0.673844892753257,False
sMAPE - País,mistralai/mistral-medium-3.5-128b,CatBoost,24.782468681659168,25.879758016927404,1160.0,0.38747759469622833,False
sMAPE - País,mistralai/mistral-medium-3.5-128b,LSTM,24.782468681659168,26.644460471205104,1218.0,0.5900782947206802,False
sMAPE - País,mistralai/mistral-medium-3.5-128b,mistralai/mistral-medium-3.5-128b,24.782468681659168,26.817666311326622,1128.0,0.29658950622618774,False
sMAPE - País,mistralai/mistral-medium-3.5-128b,qwen/qwen3.5-397b-a17b,24.782468681659168,26.96951484864201,1261.0,0.7661460636352315,False
sMAPE - País,mistralai/mistral-medium-3.5-128b,qwen/qwen3.5-397b-a17b,24.782468681659168,28.094715815027328,1207.0,0.5482055724398658,False
